num_distr	fixation.started	mouse.started	target.started	fixation.stopped	mouse.x	mouse.y	mouse.time	mouse.clicked_name
10	190.6224531	0.0429927	191.0773248	191.1274223	[0.17314814814814813]	[-0.26481481481481484]	[0.6135938000006718]	[]
5	191.2719371	0.026308	191.7417171	191.7746869	[0.17314814814814813]	[-0.26481481481481484]	[0.7497652000020025]	[]
10	192.0584915	0.0299966	192.5283558	192.5585099	[0.17314814814814813]	[-0.26481481481481484]	[1.1365560999984154]	[]
5	193.226189	0.024607			[0.17314814814814813]	[-0.26481481481481484]	[0.3264832999993814]	[]
10	193.5949022	0.0337475			[0.17314814814814813]	[-0.26481481481481484]	[0.27501979999942705]	[]
5	193.886462	0.0123792			[0.17314814814814813]	[-0.26481481481481484]	[0.33351499999844236]	[]
10	194.2705348	0.0401823			[0.17314814814814813]	[-0.26481481481481484]	[0.2542211999971187]	[]
10	194.5687694	0.038503			[0.17314814814814813]	[-0.26481481481481484]	[0.33457759999873815]	[]
5	194.9155986	0.0116601	195.4097705	195.4264464	[0.17314814814814813]	[-0.26481481481481484]	[0.6686933000019053]	[]
5	195.6183975	0.0248276	196.0933911	196.1267157	[0.17314814814814813]	[-0.26481481481481484]	[0.6508622999972431]	[]
10	196.3149579	0.036238			[0.17314814814814813]	[-0.26481481481481484]	[0.26133780000236584]	[]
10	196.6154541	0.0298463			[0.17314814814814813]	[-0.26481481481481484]	[0.3577205999972648]	[]
5	196.9961984	0.0199905	197.4772156	197.5545747	[0.17314814814814813]	[-0.26481481481481484]	[0.5065448000023025]	[]
10	197.5545747	0.039615			[0.17314814814814813]	[-0.26481481481481484]	[0.2736068999947747]	[]
5	197.8527093	0.0212897			[0.17314814814814813]	[-0.26481481481481484]	[0.4502474999972037]	[]
10	198.3521739	0.0363427	198.8117557	198.8610801	[0.17314814814814813]	[-0.26481481481481484]	[0.5408284000004642]	[]
10	198.9393097	0.0400784	199.3953309		[0.17314814814814813]	[-0.26481481481481484]	[0.48699759999726666]	[]
5	199.4433257	0.0181905	199.9281741	199.9448262	[0.17314814814814813]	[-0.26481481481481484]	[0.5266112000026624]	[]
5	200.0029132	0.0243952	200.4781435	200.5117521	[0.17314814814814813]	[-0.26481481481481484]	[0.7507489999989048]	[]
5	200.7837792	0.0222326	201.2616439	201.2953377	[0.17314814814814813]	[-0.26481481481481484]	[0.5371784000017215]	[]
5	201.3578681	0.0248381	201.8288732	201.8622114	[0.17314814814814813]	[-0.26481481481481484]	[0.5342585999969742]	[]
5	201.9205621	0.0228181	202.3957515	202.4287207	[0.17314814814814813]	[-0.26481481481481484]	[0.5694198999990476]	[]
10	202.5377718	0.0363437	202.9967089	203.0490341	[0.17314814814814813]	[-0.26481481481481484]	[0.5933462000029976]	[]
5	203.1613643	0.0266678	203.6295531	203.6629037	[0.17314814814814813]	[-0.26481481481481484]	[0.5612743999954546]	[]
5	203.756563	0.0239859	204.2297908	204.2628328	[0.17314814814814813]	[-0.26481481481481484]	[0.5851101000007475]	[]
10	204.3805871	0.0308267	204.840414	204.9230936	[0.17314814814814813]	[-0.26481481481481484]	[0.5026084999990417]	[]
10	204.9230936	0.0324103	205.3807757	205.4302394	[0.17314814814814813]	[-0.26481481481481484]	[0.9596269999965443]	[]
5	205.8996017	0.0156544	206.3806089	206.4139601	[0.17314814814814813]	[-0.26481481481481484]	[0.6056729999982053]	[]
10	206.5579496	0.0396344	207.019242	207.0667278	[0.17314814814814813]	[-0.26481481481481484]	[1.4738212000011117]	[]
5	208.0503492	0.0162744	208.5314112	208.5647678	[0.17314814814814813]	[-0.26481481481481484]	[0.5897987999996985]	[]
5	208.6790195	0.0264701	209.1483148	209.1816607	[0.17314814814814813]	[-0.26481481481481484]	[0.5981968000050983]	[]
5	209.3026211	0.0212806	209.7849202	209.815236	[0.17314814814814813]	[-0.26481481481481484]	[0.60475640000368]	[]
10	209.9436516	0.027216			[0.17314814814814813]	[-0.26481481481481484]	[0.2699664000028861]	[]
5	210.24354	0.0233866			[0.17314814814814813]	[-0.26481481481481484]	[0.331415200002084]	[]
10	210.6194217	0.0350425	211.082369	211.1339197	[0.1712962962962963]	[-0.2657407407407407]	[0.856948900000134]	[]
10	211.5138378	0.0307221	211.9758621	212.0310269	[0.1712962962962963]	[-0.26666666666666666]	[1.6026362999982666]	[]
10	213.1611593	0.0389581			[0.1712962962962963]	[-0.26666666666666666]	[0.40250229999946896]	[]
10	213.6143059	0.0425168	214.066844	214.1229763	[0.1712962962962963]	[-0.26666666666666666]	[0.5658248999970965]	[]
10	214.2187745	0.0302345	214.6749437	214.7227367	[0.16944444444444445]	[-0.26666666666666666]	[1.6788444000048912]	[]
10	215.9303083	0.0285948	216.4047888	216.4428815	[0.16944444444444445]	[-0.26666666666666666]	[0.5787191999988863]	[]
10	216.558663	0.0413544	217.0209932		[0.16944444444444445]	[-0.26666666666666666]	[0.4734236000003875]	[]
5	217.0570434	0.0224994	217.5348106	217.5678335	[0.16944444444444445]	[-0.26666666666666666]	[0.5527733999988413]	[]
5	217.6519239	0.02799	218.1213957	218.1515385	[0.16944444444444445]	[-0.26666666666666666]	[0.5648908000002848]	[]
5	218.2442262	0.0245293	218.7186027	218.7519522	[0.16944444444444445]	[-0.26666666666666666]	[0.6006417000025976]	[]
5	218.8823097	0.0255135	219.352185	219.385544	[0.16944444444444445]	[-0.26666666666666666]	[0.5494801000022562]	[]
5	219.4547681	0.0195067			[0.16944444444444445]	[-0.26666666666666666]	[0.2719684999974561]	[]
10	219.7724507	0.0352704	220.2459953	220.2807294	[0.16944444444444445]	[-0.26666666666666666]	[0.5187095000001136]	[]
10	220.3415267	0.0393743			[0.16944444444444445]	[-0.26666666666666666]	[0.42736420000437647]	[]
5	220.793432	0.0201279	221.2991799		[0.16944444444444445]	[-0.26666666666666666]	[0.46910420000494923]	[]
5	221.2991799	0.0253791	221.769523		[0.16944444444444445]	[-0.26666666666666666]	[0.4833065999991959]	[]
5	221.8150974	0.0265442	222.2866186	222.3421441	[0.16944444444444445]	[-0.26666666666666666]	[0.4994464000046719]	[]
5	222.3421441	0.021776	222.8517208		[0.16944444444444445]	[-0.26666666666666666]	[0.4709389999989071]	[]
5	222.8517208	0.0259197	223.3203521	223.3856722	[0.16944444444444445]	[-0.26666666666666666]	[0.4980546000006143]	[]
10	223.3856722	0.0285268			[0.16944444444444445]	[-0.26666666666666666]	[0.45018849999905797]	[]
10	223.8627539	0.0232887			[0.16944444444444445]	[-0.26666666666666666]	[0.4143756999983452]	[]
10	224.3152577	0.0326951	224.7911772		[0.16944444444444445]	[-0.26666666666666666]	[0.48631079999904614]	[]
10	224.8401332	0.0285362	225.3089442	225.3462319	[0.16944444444444445]	[-0.26666666666666666]	[0.5182636000026832]	[]
5	225.3854818	0.0221962	225.8546528	225.8879877	[0.16944444444444445]	[-0.26666666666666666]	[0.5947989999986021]	[]
10	226.0361534	0.0414521	226.5143679		[0.16944444444444445]	[-0.26666666666666666]	[0.4426937000025646]	[]
10	226.5143679	0.0340989	226.9795045		[0.16944444444444445]	[-0.26666666666666666]	[0.47622969999792986]	[]
10	227.0442276	0.0404923	227.502637		[0.16944444444444445]	[-0.26666666666666666]	[0.4452212999967742]	[]
5	227.502637	0.0156797	227.9887932	228.0054521	[0.16944444444444445]	[-0.26666666666666666]	[0.5127692000023671]	[]
5	228.0422124	0.0200229	228.5221458	228.5823913	[0.16944444444444445]	[-0.26666666666666666]	[0.5059575000050245]	[]
5	228.5823913	0.0250601			[0.16944444444444445]	[-0.26666666666666666]	[0.4502102999977069]	[]
5	229.0603269	0.0209048	229.5626929		[0.16944444444444445]	[-0.26666666666666666]	[0.4713768000001437]	[]
